Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Guinea,GIN,"School enrollment, primary (% gross)",SE.PRM.ENRR,85.61686707,89.37448883,91.49246216,93.53012848,95.15177917,..,93.11325836,..,..,..,100.4745178
Guinea,GIN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,36.74647903,36.87668991,..,38.55487823,..,..,..,..,..,..
Guinea,GIN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,10.54397964,10.6184597,10.00856972,10.43640041,10.85472012,..,..,..,..,..,..
Guinea,GIN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,25.30999947,..,..,..,32,..,..,..,39.61999893,..,..
Guinea,GIN,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,5.6,..,..,..,..,..,2.5,..,..
Guinea,GIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.097,5.094,4.884,4.967,5.09,5.224,5.013,4.826,4.787,5.018,6.018
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,600.1942985,719.5395735,635.4616533,654.3045344,652.022501,645.0668372,679.6653866,783.1231866,808.5316132,807.4255249,836.2673142
Guinea-Bissau,GNB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.682209969,1.765930057,1.886379957,2.010270119,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"School enrollment, primary (% gross)",SE.PRM.ENRR,113.4367828,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..
Guinea-Bissau,GNB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,54.88000107,..
Guinea-Bissau,GNB,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,38.7,..,..,..,..,..,..,..,9.8,..,..
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.137,3.08,3.143,3.162,3.254,3.157,3.123,3.066,3.127,2.413,2.89
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,4581.761797,4947.221706,5444.397519,5556.912312,5472.688205,5640.415606,5870.878238,6178.665044,6048.386972,6405.824434,6775.709391
Guyana,GUY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.409389973,2.506690025,2.241319895,..,4.360330105,3.895699978,4.737750053,4.66478014,4.45058012,..,..
Guyana,GUY,"School enrollment, primary (% gross)",SE.PRM.ENRR,100.6205072,104.9450608,105.2368966,..,..,..,..,..,..,87.7391791,96.35692728
Guyana,GUY,"School enrollment, secondary (% gross)",SE.SEC.ENRR,93.28646088,101.134758,102.622467,..,..,..,..,..,..,..,86.94001007
Guyana,GUY,"School enrollment, tertiary (% gross)",SE.TER.ENRR,10.95170021,11.26869011,11.70275974,..,..,..,..,..,..,..,..
Guyana,GUY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,85.63999939
Guyana,GUY,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,..,..,..,..,..,..,..,..,..
Guyana,GUY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.636,11.819,12.038,12.303,12.639,13.004,13.257,13.462,13.627,13.172,15.334
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1209.727335,1312.039536,1361.393966,1457.832212,1460.188986,1411.126847,1318.402682,1395.239452,1496.38049,1352.172042,1290.325387
Haiti,HTI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,1.752269983,1.854979992,1.387760043,1.498469949,1.637159944,1.084149781,1.113536416
Haiti,HTI,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,183.9894402,..,..,..,..
Haiti,HTI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..
Haiti,HTI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,74.02732069,..,..,..,..,68.01000214,..,..,..
Haiti,HTI,Poverty gap at $3.00 a day (2021 PPP) (%),SI.POV.GAPS,..,..,14.9,..,..,..,..,..,..,..,..
Haiti,HTI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15.252,14.485,14.1,13.642,13.755,13.724,13.852,13.881,13.878,14.057,15.546
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1893.327227,2073.661211,2126.034747,2081.128435,2179.88172,2271.20266,2307.344684,2413.007656,2464.642415,2502.327443,2307.614943
Honduras,HND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,6.299727936,5.874929905,7.090119839,6.412970066,6.095094921,5.744343961,6.056469917,5.981982663,6.098013286
Honduras,HND,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.43276162,97.6766786,94.18716535,90.55292337,89.40336704,89.24215394,88.64651889,87.11209518,..,85.3644846,83.65529904
Honduras,HND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,66.16819,65.90184784,64.53279114,61.92071152,49.47668218,50.35110851,51.04664868,51.01203918,..,64.35241699,58.42689994
Honduras,HND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,19.27575502,..,18.94429175,19.44767593,19.72418652,20.31526391,21.00254422,24.55855992,26.38382421,25.32313826,..
Honduras,HND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,84.76000214,85.12000275,85.36000061,85.45999908,87.19999695,87.91000366,88.98999786,..,87.20999908,88.51000214,..
